task_id,n_successes,n_censored,sigma_used,naive_gmean_successes,censored_mle_gmean,published_human_minutes,task_source,human_source,mle_over_naive
continue_pattern/binary,0,1,0.8892021218,,,600,HCAST,estimate,
continue_pattern/easy,0,5,0.8892021218,,,1080,HCAST,estimate,
credit_card_validity/add_check_digits,3,1,0.8892021218,26.948,30.50900013,26.948,HCAST,baseline,1.132143392
cuda_backtesting/default,0,2,0.8892021218,,,480,HCAST,estimate,
data_deduplication/c4_pairs_1m,0,6,0.8892021218,,,360,HCAST,estimate,
debug_small_libs/markdown,3,0,0.8892021218,30.153,30.153,30.153,HCAST,baseline,1
debug_small_libs/orm_allbugs,24,6,0.8892021218,95.218,118.3541093,95.218,HCAST,baseline,1.242980417
debug_small_libs/orm_somebugs,57,13,0.8892021218,84.54962903,98.95514706,84.437,HCAST,baseline,1.170379435
env_scientist/level1,2,1,0.8892021218,43.726,239.4086377,43.726,HCAST,baseline,5.475200972
env_scientist/level2,3,0,0.8892021218,46.443,46.443,46.443,HCAST,baseline,1
env_scientist/level3,1,1,0.8892021218,90.457,170.7106185,90.457,HCAST,baseline,1.887201858
env_scientist/level4,2,1,0.8892021218,247.834,267.2772069,247.834,HCAST,baseline,1.07845254
env_scientist/level5,2,1,0.8892021218,58.738,89.65111768,58.738,HCAST,baseline,1.526288224
env_scientist/level6,2,1,0.8892021218,171.412,291.5656511,171.412,HCAST,baseline,1.700964058
env_scientist/level7,0,4,0.8892021218,,,665,HCAST,estimate,
esolang/broccoli_collatz,5,1,0.8892021218,35.078,47.7213901,35.078,HCAST,baseline,1.360436459
esolang/broccoli_fibonacci,3,2,0.8892021218,24.396,30.75256348,24.396,HCAST,baseline,1.260557611
file_recovery/default,3,1,0.8892021218,345.617,433.8632653,345.617,HCAST,baseline,1.255329643
file_selection/find_cache_file,4,0,0.2340889015,0.05831785592,0.05831785592,0.058320992,SWAA,baseline,1
file_selection/find_config_file,4,0,0.2307578932,0.04709835454,0.04709835454,0.0470904651,SWAA,baseline,1
file_selection/find_css_file,4,0,0.337886925,0.05256843524,0.05256843524,0.0525742238,SWAA,baseline,1
file_selection/find_docker_file,4,0,0.3555684544,0.06863431125,0.06863431125,0.0686250355,SWAA,baseline,1
file_selection/find_env_file,4,0,0.3251486131,0.05407701782,0.05407701782,0.0540778269,SWAA,baseline,1
file_selection/find_image,4,0,0.3084860545,0.04247928244,0.04247928244,0.0424809958,SWAA,baseline,1
file_selection/find_json_data,4,0,0.2480904009,0.03754130478,0.03754130478,0.0375325306,SWAA,baseline,1
file_selection/find_log_file,4,0,0.2951811402,0.06381521152,0.06381521152,0.0638138742,SWAA,baseline,1
file_selection/find_main_file,4,0,0.3348617443,0.06119215719,0.06119215719,0.061190799,SWAA,baseline,1
file_selection/find_password_file,4,0,0.2233355035,0.05519135499,0.05519135499,0.0551948292,SWAA,baseline,1
file_selection/find_readme,3,1,0.6547402138,0.06472554811,0.08391868679,0.0647069487,SWAA,baseline,1.296531111
file_selection/find_requirements_file,4,0,0.5042350202,0.05934791594,0.05934791594,0.0593363522,SWAA,baseline,1
file_selection/find_shell_script,4,0,0.2080277418,0.04339958977,0.04339958977,0.0433995898,SWAA,baseline,1
file_selection/identify_binary_file,3,1,0.2730971536,0.0807171451,0.08479559525,0.0807100659,SWAA,baseline,1.050527681
file_selection/identify_dependency_file,4,0,0.3425434224,0.06782680857,0.06782680857,0.0678231713,SWAA,baseline,1
file_selection/identify_executable,4,0,0.220025638,0.04284248944,0.04284248944,0.0428509189,SWAA,baseline,1
file_selection/identify_git_ignore,4,0,0.2404608727,0.04415580864,0.04415580864,0.0441631174,SWAA,baseline,1
file_selection/identify_python_file,4,0,0.2188987498,0.09470706505,0.09470706505,0.0947065336,SWAA,baseline,1
file_selection/identify_python_package,4,0,0.2356141578,0.08075183507,0.08075183507,0.0807477373,SWAA,baseline,1
file_selection/identify_test_file,4,0,0.2971706699,0.06780630679,0.06780630679,0.0678048301,SWAA,baseline,1
gaia/0a3cd321,3,4,0.8892021218,18.037,53.38197788,18.037,HCAST,baseline,2.959581853
gsm_8k/sd_f_hinted_turbo_format,0,3,0.8892021218,,,360,HCAST,estimate,
hack_container/default,1,0,0.8892021218,208.776,208.776,208.776,HCAST,baseline,1
hypothesis_testing/mystery_function_1,2,0,0.8892021218,9.007,9.007,9.007,HCAST,baseline,1
hypothesis_testing/mystery_function_2,2,1,0.8892021218,14.499,20.9233132,14.499,HCAST,baseline,1.44308664
hypothesis_testing/mystery_function_4,3,0,0.8892021218,10.153,10.153,10.153,HCAST,baseline,1
hypothesis_testing/mystery_function_5,3,1,0.8892021218,27.769,35.39667688,27.769,HCAST,baseline,1.274683168
hypothesis_testing/mystery_function_6,2,1,0.8892021218,49.354,56.67109051,49.354,HCAST,baseline,1.148257294
hypothesis_testing/mystery_function_8,3,0,0.8892021218,14.773,14.773,14.773,HCAST,baseline,1
iclr_authors/notable-top-25,2,3,0.8892021218,1111.887,1249.922001,1111.887,HCAST,baseline,1.124144811
iclr_authors/notable-top-5,2,3,0.8892021218,391.386,1202.006967,391.386,HCAST,baseline,3.071154734
iclr_authors/poster,1,3,0.8892021218,521.525,1015.4385,521.525,HCAST,baseline,1.947056229
image_labeling/bouba_kiki_gradients,0,5,0.8892021218,,,480,HCAST,estimate,
image_labeling/layered_squares,2,1,0.8892021218,87.306,185.154161,87.306,HCAST,baseline,2.120749559
image_labeling/spiral_angle,1,2,0.8892021218,146.547,294.1444599,146.547,HCAST,baseline,2.007168075
interpret_data/ecommerce_biggest_order,3,0,0.8892021218,10.735,10.735,10.735,HCAST,baseline,1
