noise_model,agent,quantile,naive_horizon_min,simex_horizon_min,pct_change
per_task (b),Claude Sonnet 4.5,p80,26.095319,35.8577047,37.41048615
per_task (b),DeepSeek-R1,p50,27.88761597,30.51636347,9.426218061
per_task (b),DeepSeek-R1,p80,5.62946119,7.775823335,38.12731045
per_task (b),DeepSeek-R1-0528,p50,32.76428221,35.08033552,7.06883579
per_task (b),DeepSeek-R1-0528,p80,4.671541227,6.380315482,36.57838327
per_task (b),DeepSeek-V3,p50,19.82281199,22.37014252,12.85050039
per_task (b),DeepSeek-V3,p80,5.424592748,7.726635958,42.43716196
per_task (b),DeepSeek-V3-0324,p50,24.59434806,27.28542308,10.94184326
per_task (b),DeepSeek-V3-0324,p80,7.452729322,10.55268506,41.59490581
per_task (b),GPT-2,p50,0.05377793191,0.05541802415,3.049749565
per_task (b),GPT-2,p80,0.01279993199,0.01369329945,6.979470342
per_task (b),GPT-4 0125,p50,6.346858532,7.496876081,18.11947664
per_task (b),GPT-4 0125,p80,1.91398563,2.595193941,35.59108803
per_task (b),GPT-4 0314,p50,6.02411446,6.94720027,15.32317847
per_task (b),GPT-4 0314,p80,1.367526324,1.791411897,30.99652019
per_task (b),GPT-4 1106,p50,9.394535596,10.72970423,14.21218346
per_task (b),GPT-4 1106,p80,2.010190075,2.657345356,32.19373574
per_task (b),GPT-4 Turbo,p50,7.777455467,9.315059204,19.77001018
per_task (b),GPT-4 Turbo,p80,2.492662421,3.565343788,43.03355957
per_task (b),GPT-4o,p50,10.17485719,11.72071805,15.19294895
per_task (b),GPT-4o,p80,2.374363861,3.229708102,36.02414331
per_task (b),GPT-5,p50,130.8165282,126.4627648,-3.328144783
per_task (b),GPT-5,p80,32.9843466,44.85551982,35.99032405
per_task (b),GPT-5.1-Codex-Max,p50,162.2536988,154.262406,-4.925183743
per_task (b),GPT-5.1-Codex-Max,p80,40.03903532,52.94118638,32.22393086
per_task (b),Gemini 2.5 Pro Preview,p50,40.18228176,42.86911551,6.68661319
per_task (b),Gemini 2.5 Pro Preview,p80,12.56567706,17.04549654,35.65123834
per_task (b),Grok 4,p50,104.84751,101.4022473,-3.285974775
per_task (b),Grok 4,p80,18.5913098,25.36348833,36.42658105
per_task (b),Kimi K2 Thinking,p50,57.62172382,60.67217471,5.293925076
