Claude 3 Opus (Inspect)@p50,Claude 3.5 Sonnet (New) (Inspect)@p50,Claude 3.5 Sonnet (Old) (Inspect)@p50,Claude 3.7 Sonnet (Inspect)@p50,Claude 4 Opus (Inspect)@p50,Claude 4.1 Opus (Inspect)@p50,Claude Opus 4.5 (Inspect)@p50,Claude Opus 4.6 (Inspect)@p50,GPT-4 0314@p50,GPT-4 1106 (Inspect)@p50,GPT-4 Turbo (Inspect)@p50,GPT-4o (Inspect)@p50,GPT-5 (Inspect)@p50,GPT-5.1-Codex-Max (Inspect)@p50,GPT-5.2@p50,GPT-5.3-Codex@p50,Gemini 3 Pro@p50,human@p50,o1 (Inspect)@p50,o1-preview@p50,o3 (Inspect)@p50,Claude 3 Opus (Inspect)@p80,Claude 3.5 Sonnet (New) (Inspect)@p80,Claude 3.5 Sonnet (Old) (Inspect)@p80,Claude 3.7 Sonnet (Inspect)@p80,Claude 4 Opus (Inspect)@p80,Claude 4.1 Opus (Inspect)@p80,Claude Opus 4.5 (Inspect)@p80,Claude Opus 4.6 (Inspect)@p80,GPT-4 0314@p80,GPT-4 1106 (Inspect)@p80,GPT-4 Turbo (Inspect)@p80,GPT-4o (Inspect)@p80,GPT-5 (Inspect)@p80,GPT-5.1-Codex-Max (Inspect)@p80,GPT-5.2@p80,GPT-5.3-Codex@p80,Gemini 3 Pro@p80,human@p80,o1 (Inspect)@p80,o1-preview@p80,o3 (Inspect)@p80
8.11797976,25.99987069,22.2967748,61.29534933,112.4641747,93.99001162,280.5265912,707.6955538,5.786552346,6.850362969,4.029468996,10.8511242,254.4535278,251.5907375,343.316529,315.5943674,288.2501301,150.7438359,56.92418366,33.26822526,142.6630703,1.459149864,3.588099684,4.498069384,15.77921281,27.27345454,30.45760006,68.68346426,136.7018149,1.220057802,1.37428034,0.8483277017,2.37383253,59.65519794,59.83274354,94.27447179,101.4114851,83.39729723,18.65639445,18.08158197,9.249002832,41.14988611
3.474071225,20.50472141,14.46999718,70.19000468,89.51358557,93.47112603,203.6599814,228.3190891,3.417923919,3.537470784,4.661028854,7.387197558,102.0975638,130.5982272,144.2467465,164.880422,160.4194369,94.23963677,32.88617563,17.84162969,71.75289052,0.4738698074,2.708322555,2.010029418,23.66343092,30.03818348,32.45607942,45.33166937,30.15312732,0.5300348217,0.4629229852,0.9621774241,1.420145989,33.73380789,51.49582399,52.27866866,35.50550156,75.10956778,21.02683845,6.703193557,4.434963965,26.77514904
3.771426875,37.34797795,16.20478041,78.31191029,143.2445157,136.0981335,391.1344512,942.8580347,5.87767338,5.91651443,5.409287309,7.229575295,334.7651254,527.06523,652.739386,582.1738438,262.4736536,127.7104767,50.54555569,23.12974182,202.1573586,0.6234219645,4.482214878,1.997958652,12.09018458,24.4258015,29.49148799,61.87746034,100.9860163,1.45878786,1.41706541,1.510768389,1.540086502,34.61008408,61.3772996,73.05337618,77.87688902,49.76338997,14.07217108,7.578467912,4.92018856,38.15562941
8.54039157,26.19745035,14.30555144,76.22188156,101.0497748,86.11987533,253.5162283,658.3333747,6.099600231,5.220603333,5.801134197,9.015720708,134.4134802,158.0469698,207.867751,339.9430124,216.6458689,129.7731114,33.3275856,22.73252521,113.2201833,1.382792988,5.119017272,2.889354261,23.99870956,26.73292915,23.69479845,57.04215477,82.66526153,1.645913125,1.222786964,1.751240226,1.741961283,34.14935772,47.20792243,47.66933387,83.18183659,85.95903979,16.0559371,9.348507051,5.487565336,33.28263235
4.096108689,22.61337619,11.88785181,55.61857281,95.53020492,78.80758788,214.8957685,2784.639506,5.057772256,3.257059919,3.977838955,6.651944825,201.2004412,221.6438668,416.5379122,520.8099614,267.781013,91.74546918,34.88549848,24.43595743,114.3001555,0.6981953812,3.219725374,1.993412052,7.863076674,12.50556268,12.48876682,24.94067214,70.49265205,1.310649544,0.7410873849,1.149528257,1.52607445,37.34445497,57.25051266,76.47173439,70.33369547,70.28026005,9.908931975,7.975445999,6.318218831,31.11957241
6.966086539,33.29004406,17.43778931,74.8886119,120.8511475,134.2459327,322.6160899,407.904005,5.801407984,5.570027286,5.230805631,10.6199263,267.2033032,257.7517647,331.052747,297.0977369,227.7380456,120.0700538,53.77894045,32.28856833,127.5624271,0.8555690584,4.381616681,2.543158989,19.18396894,25.48690914,42.00938124,103.2761464,82.90559445,1.038998687,0.9335284835,0.986065585,1.907051916,62.86090734,62.92094263,78.68907124,53.20237174,70.59675168,25.07384027,12.5178636,7.763927038,36.245695
1.850980596,8.731199696,6.73220331,44.74426879,79.05390382,70.49125701,436.4527601,2059.318561,2.500268728,1.990458975,2.187393041,6.695239976,248.7473003,230.969689,307.0918891,479.7631937,253.2964202,123.3310118,25.21082512,19.31211431,143.2657407,0.2826959543,0.4550121168,0.7147376721,6.085406642,7.947326359,9.43105341,44.08647425,80.12429829,0.50685452,0.4032051512,0.5252031495,0.8097622648,36.80519918,33.17283428,51.43549842,49.16659487,49.48622892,10.70159014,4.441997843,3.391154428,28.28970073
3.706050508,20.11170029,12.58248101,62.17839454,119.3926749,93.05607152,180.1455137,521.9714711,5.468292621,5.085591705,4.450332328,6.598399701,161.0168642,156.4494177,243.6289474,281.872703,161.8129458,73.12412387,36.51004498,23.20825149,113.2552739,0.7067930316,3.409922568,1.949466907,14.60115654,33.51946559,28.28473248,24.88213623,54.77313868,1.364834483,1.159694646,1.371569891,1.253626668,43.21329669,44.3330581,66.50218396,76.29878742,61.05470016,11.52919995,6.337998871,5.139634361,39.00577491
3.415698082,17.40257224,12.44129885,56.57914375,94.87850869,106.8245741,299.977023,871.4941341,3.16340336,3.751939203,4.074659652,8.367884937,149.7989448,210.8979693,234.0864536,543.2610392,192.5127276,169.9763042,36.83849859,20.52273142,101.8626795,0.4273972332,1.150811529,1.406113382,7.825053284,21.90242188,26.96520723,54.40315186,75.11818673,0.5663081257,0.4861455144,0.8639522288,1.575025019,38.05559978,53.5609142,60.49656248,42.74590227,65.86354774,23.47564778,6.694922187,5.241964919,37.64546957
3.114279255,15.53074685,9.987842772,42.83325202,75.71026165,64.6600514,157.2054588,274.0896453,2.642775294,3.279700152,2.766181207,6.556415568,128.6869236,143.6536322,198.3595817,181.5243813,177.1647475,103.5412674,28.98817011,13.37604176,94.65173259,0.4255964803,1.306628544,1.289920896,7.566786892,15.09111374,15.25035853,31.58633329,34.0533326,0.5034882409,0.6359031143,0.5376234763,1.432544723,29.20962721,36.77116739,41.62012383,38.30845798,37.76931612,11.52412981,4.363425589,1.676712687,22.10169436
