noise_model,lambda,agent,quantile,mean_log2_horizon
per_task,0.5,GPT-4o,p80,1.024190533
per_task,0.5,GPT-5,p80,4.870192367
per_task,0.5,GPT-5.1-Codex-Max,p80,5.153291419
per_task,0.5,Gemini 2.5 Pro Preview,p80,3.46126076
per_task,0.5,Grok 4,p80,4.035879685
per_task,0.5,Kimi K2 Thinking,p80,3.715011615
per_task,0.5,Qwen2-72B,p80,-0.8852833254
per_task,0.5,Qwen2.5-72B,p80,0.2052873862
per_task,0.5,davinci-002 (GPT-3),p80,-4.170403649
per_task,0.5,gpt-3.5-turbo-instruct,p80,-2.015512183
per_task,0.5,gpt-oss-120b,p80,2.864245704
per_task,0.5,human,p80,3.115359227
per_task,0.5,o1,p80,2.741869753
per_task,0.5,o1-preview,p80,2.458789923
per_task,0.5,o3,p80,4.594906835
per_task,0.5,o4-mini,p80,4.157120362
per_task,1,Claude 3 Opus,p50,2.640659712
per_task,1,Claude 3.5 Sonnet (New),p50,4.821995086
per_task,1,Claude 3.5 Sonnet (Old),p50,4.158408261
per_task,1,Claude 3.7 Sonnet,p50,5.745684577
per_task,1,Claude 4 Opus,p50,6.364859451
per_task,1,Claude 4 Sonnet,p50,6.175056426
per_task,1,Claude 4.1 Opus,p50,6.807890233
per_task,1,Claude Opus 4.5,p50,8.217668407
per_task,1,Claude Sonnet 4.5,p50,6.926921075
per_task,1,DeepSeek-R1,p50,4.685052023
per_task,1,DeepSeek-R1-0528,p50,4.950314611
per_task,1,DeepSeek-V3,p50,4.148213792
per_task,1,DeepSeek-V3-0324,p50,4.480132809
per_task,1,GPT-2,p50,-4.253596057
per_task,1,GPT-4 0125,p50,2.434130754
per_task,1,GPT-4 0314,p50,2.394029873
per_task,1,GPT-4 1106,p50,3.04891608
per_task,1,GPT-4 Turbo,p50,2.719626435
per_task,1,GPT-4o,p50,3.155664153
per_task,1,GPT-5,p50,7.098978677
per_task,1,GPT-5.1-Codex-Max,p50,7.443325464
per_task,1,Gemini 2.5 Pro Preview,p50,5.241651823
per_task,1,Grok 4,p50,6.770679653
per_task,1,Kimi K2 Thinking,p50,5.791124582
per_task,1,Qwen2-72B,p50,1.182408131
per_task,1,Qwen2.5-72B,p50,2.344726589
per_task,1,davinci-002 (GPT-3),p50,-2.799325392
per_task,1,gpt-3.5-turbo-instruct,p50,-0.8111575094
per_task,1,gpt-oss-120b,p50,5.43115205
per_task,1,human,p50,6.956446903
per_task,1,o1,p50,5.304077288
per_task,1,o1-preview,p50,4.395833909
per_task,1,o3,p50,6.50781685
per_task,1,o4-mini,p50,6.255794282
per_task,1,Claude 3 Opus,p80,0.2642582495
per_task,1,Claude 3.5 Sonnet (New),p80,2.135894015
per_task,1,Claude 3.5 Sonnet (Old),p80,1.641180292
per_task,1,Claude 3.7 Sonnet,p80,3.990305031
per_task,1,Claude 4 Opus,p80,4.381626173
per_task,1,Claude 4 Sonnet,p80,4.076872531
per_task,1,Claude 4.1 Opus,p80,4.40473368
per_task,1,Claude Opus 4.5,p80,4.903477582
per_task,1,Claude Sonnet 4.5,p80,4.329160998
per_task,1,DeepSeek-R1,p80,2.065979652
per_task,1,DeepSeek-R1-0528,p80,1.828667688
per_task,1,DeepSeek-V3,p80,1.979027305
per_task,1,DeepSeek-V3-0324,p80,2.446680818
per_task,1,GPT-2,p80,-6.353287996
per_task,1,GPT-4 0125,p80,0.5048590478
per_task,1,GPT-4 0314,p80,0.07801804754
per_task,1,GPT-4 1106,p80,0.6180358907
per_task,1,GPT-4 Turbo,p80,0.8459952743
per_task,1,GPT-4o,p80,0.8299633363
per_task,1,GPT-5,p80,4.685718244
per_task,1,GPT-5.1-Codex-Max,p80,4.986058241
