metr,metr+x_param,x_param_only
142.8560819,115.0937983,124.0613165
152.1892086,152.5373015,122.1710752
127.4470476,110.724593,114.1842988
147.6345587,130.6300027,119.9659325
120.7752518,116.9107514,118.3812955
145.7868084,125.2033383,119.0962304
106.9835324,101.8499541,117.6756062
148.0085236,139.5628414,120.476789
129.6948587,118.3324346,111.9894128
139.1375437,130.0782175,115.8891918
120.7412999,112.0991628,120.7776484
107.4644421,108.8774207,118.6236328
134.9230917,117.1017232,123.8551891
114.6662749,108.6162289,115.4824904
124.5173235,110.7827797,116.034859
117.3320955,101.0902256,117.7757283
118.8174551,116.7574152,109.3498136
113.5224873,101.4214021,123.7961338
123.9654129,115.027697,125.3178866
123.2691948,100.3457273,118.8122917
112.3119764,101.2239002,125.1755899
110.6359749,100.7283005,114.7784759
118.8326721,101.217752,122.7122799
130.9582639,123.0182636,118.0967336
132.8609608,121.3737675,119.938153
143.6576237,131.2271914,118.8995555
122.2000445,120.7760602,117.0080995
132.3121051,116.8090612,112.5111403
115.5625496,114.296272,113.3298928
133.9738974,121.9250566,123.680625
164.4875806,153.4211166,119.2033756
136.8978007,124.8984127,114.6519411
120.2531487,105.6689504,111.0832459
119.3243004,102.3033966,119.8624502
115.6176255,104.170884,115.8235276
133.8767799,111.1716897,116.3572244
147.4442183,138.8983046,123.1485864
113.4147349,99.10505413,114.8413533
119.4837019,108.0011208,111.9598047
111.6418367,100.6405403,123.0261074
114.5073008,104.6463976,114.1575331
127.5413816,113.7291571,120.0162225
139.8304999,122.3247798,121.0893656
118.6629404,101.0170431,115.7306663
117.7012232,96.29046498,112.6136996
166.8222236,136.3360956,118.4984032
129.3703357,124.5338047,125.1557618
122.1617272,102.4646764,114.0267696
125.3135052,110.3360241,109.9810826
142.8756747,128.8534793,116.3051273
130.5362137,123.6814229,126.5292175
109.9663246,98.12107858,121.8201033
146.67082,135.3916691,115.7810766
143.0660968,127.3907889,108.9743633
139.8039396,137.5346938,118.111701
151.165978,124.5993617,124.5933963
149.1946062,148.5971331,115.359344
131.3395895,120.7067281,120.2066316
115.8728249,104.3359481,113.8326865
133.6893316,111.9183759,111.2916349
125.1837807,108.0011965,116.1473774
117.8206218,106.1888785,120.836314
129.396188,109.5496638,116.0975616
135.7718907,136.8280945,119.6080014
119.8208385,118.977348,109.891708
124.7833902,111.2772489,119.1510678
105.2797896,97.80873896,113.7576234
145.9046168,129.8910225,120.7603336
136.4759859,117.2044795,115.8282543
135.3330303,128.4399678,111.2843497
114.294852,109.9082932,112.635696
131.5327262,123.7048521,112.3998689
120.6705852,115.943412,115.5428059
121.107096,116.1446399,113.177606
125.5661574,103.6374512,117.8771611
121.9716485,120.6273708,117.8746123
115.1475806,99.86928792,117.8201873
120.9140754,117.7019602,121.2304747
132.1890556,122.3421546,114.0628734
127.141675,112.6448265,117.2648801
132.8928758,118.8219165,115.307171
130.2511098,118.0437177,121.1888617
132.5255045,128.4019218,119.3291287
131.0272315,113.211063,109.8141548
123.0411864,122.4117698,114.9244917
129.141672,104.3461778,116.0126588
131.7193249,124.5040582,112.3836474
136.0786717,125.7718344,116.4762483
135.9931454,125.6524747,114.8085977
118.3768775,108.8717713,118.655288
93.32132632,83.9394656,117.202206
118.0343262,107.4112892,114.1739683
135.8850361,136.4289757,119.731494
122.2033461,115.4259877,119.4827562
105.3655806,99.69011848,113.7097771
103.3831568,97.96073435,119.2376562
154.2095312,152.2848788,119.2533079
133.9873998,99.86328892,114.9838378
123.8875358,117.1623282,117.8324848
136.1979386,127.0985881,114.271838
126.5140945,103.7417111,116.5751547
115.152699,106.7978471,112.0288524
138.788826,133.3930936,110.9164229
132.6571662,116.6499102,120.1539759
130.217852,122.3432923,119.2029813
135.7315975,124.0895978,120.6796111
124.9813718,117.6045525,117.2171161
