noise_model,lambda,agent,quantile,mean_log2_horizon
per_task (b),1.0,Claude 4.1 Opus (Inspect),p50,6.6196925465603735
per_task (b),1.0,Claude Opus 4.5 (Inspect),p50,8.492714156823219
per_task (b),1.0,Claude Opus 4.6 (Inspect),p50,10.143626348550423
per_task (b),1.0,GPT-4 0314,p50,1.739854554421363
per_task (b),1.0,GPT-4 1106 (Inspect),p50,1.7563821436731226
per_task (b),1.0,GPT-4 Turbo (Inspect),p50,1.6177949050063056
per_task (b),1.0,GPT-4o (Inspect),p50,2.571592018384915
per_task (b),1.0,GPT-5 (Inspect),p50,7.821066633648502
per_task (b),1.0,GPT-5.1-Codex-Max (Inspect),p50,7.968509538048436
per_task (b),1.0,GPT-5.2,p50,8.821438176536807
per_task (b),1.0,GPT-5.3-Codex,p50,8.813704577585177
per_task (b),1.0,Gemini 3 Pro,p50,7.967601580172
per_task (b),1.0,human,p50,6.851875993750833
per_task (b),1.0,o1 (Inspect),p50,5.1648785758621605
per_task (b),1.0,o1-preview,p50,4.182455784072371
per_task (b),1.0,o3 (Inspect),p50,6.8895864263733495
per_task (b),1.0,Claude 3 Opus (Inspect),p80,-1.1375594758735508
per_task (b),1.0,Claude 3.5 Sonnet (New) (Inspect),p80,0.863449649128824
per_task (b),1.0,Claude 3.5 Sonnet (Old) (Inspect),p80,0.22439846082092918
per_task (b),1.0,Claude 3.7 Sonnet (Inspect),p80,3.1137875776168245
per_task (b),1.0,Claude 4 Opus (Inspect),p80,3.8593270352005606
per_task (b),1.0,Claude 4.1 Opus (Inspect),p80,4.065840826256174
per_task (b),1.0,Claude Opus 4.5 (Inspect),p80,5.220301165906855
per_task (b),1.0,Claude Opus 4.6 (Inspect),p80,5.921258623842138
per_task (b),1.0,GPT-4 0314,p80,-0.6574029390931816
per_task (b),1.0,GPT-4 1106 (Inspect),p80,-0.858368301073641
per_task (b),1.0,GPT-4 Turbo (Inspect),p80,-0.6424251028912213
per_task (b),1.0,GPT-4o (Inspect),p80,-0.17096238188698276
per_task (b),1.0,GPT-5 (Inspect),p80,4.806718143964554
per_task (b),1.0,GPT-5.1-Codex-Max (Inspect),p80,5.196511813548581
per_task (b),1.0,GPT-5.2,p80,5.671499919427525
per_task (b),1.0,GPT-5.3-Codex,p80,5.407197369484066
per_task (b),1.0,Gemini 3 Pro,p80,5.273731364101436
per_task (b),1.0,human,p80,3.2508214203034713
per_task (b),1.0,o1 (Inspect),p80,2.34071462484717
per_task (b),1.0,o1-preview,p80,1.6347640152696143
per_task (b),1.0,o3 (Inspect),p80,4.4190229922601905
per_task (b),1.5,Claude 3 Opus (Inspect),p50,1.662683142253326
per_task (b),1.5,Claude 3.5 Sonnet (New) (Inspect),p50,4.144931731977438
per_task (b),1.5,Claude 3.5 Sonnet (Old) (Inspect),p50,3.2533434503775336
per_task (b),1.5,Claude 3.7 Sonnet (Inspect),p50,5.814761921669342
per_task (b),1.5,Claude 4 Opus (Inspect),p50,6.650389315571591
per_task (b),1.5,Claude 4.1 Opus (Inspect),p50,6.6286069545298485
per_task (b),1.5,Claude Opus 4.5 (Inspect),p50,8.657068302156983
per_task (b),1.5,Claude Opus 4.6 (Inspect),p50,10.41873378440866
per_task (b),1.5,GPT-4 0314,p50,1.661508783447363
per_task (b),1.5,GPT-4 1106 (Inspect),p50,1.6760403382792892
per_task (b),1.5,GPT-4 Turbo (Inspect),p50,1.533416703840003
per_task (b),1.5,GPT-4o (Inspect),p50,2.4890974567799535
per_task (b),1.5,GPT-5 (Inspect),p50,7.928935009381147
per_task (b),1.5,GPT-5.1-Codex-Max (Inspect),p50,8.083596674746653
per_task (b),1.5,GPT-5.2,p50,9.02938452115398
per_task (b),1.5,GPT-5.3-Codex,p50,9.012530638688833
per_task (b),1.5,Gemini 3 Pro,p50,8.083371394041476
per_task (b),1.5,human,p50,6.909571021861921
per_task (b),1.5,o1 (Inspect),p50,5.120538710884689
per_task (b),1.5,o1-preview,p50,4.113232445975376
per_task (b),1.5,o3 (Inspect),p50,6.911927243259422
per_task (b),1.5,Claude 3 Opus (Inspect),p80,-1.257507393036228
per_task (b),1.5,Claude 3.5 Sonnet (New) (Inspect),p80,0.6469921712587666
per_task (b),1.5,Claude 3.5 Sonnet (Old) (Inspect),p80,0.07036762387997093
per_task (b),1.5,Claude 3.7 Sonnet (Inspect),p80,2.886407297507251
per_task (b),1.5,Claude 4 Opus (Inspect),p80,3.652570238629181
per_task (b),1.5,Claude 4.1 Opus (Inspect),p80,3.842331254273114
per_task (b),1.5,Claude Opus 4.5 (Inspect),p80,5.070137145923041
per_task (b),1.5,Claude Opus 4.6 (Inspect),p80,5.8746528222560075
per_task (b),1.5,GPT-4 0314,p80,-0.8002934748781451
per_task (b),1.5,GPT-4 1106 (Inspect),p80,-1.0033953325454839
per_task (b),1.5,GPT-4 Turbo (Inspect),p80,-0.7896490892632039
per_task (b),1.5,GPT-4o (Inspect),p80,-0.34442751600869925
per_task (b),1.5,GPT-5 (Inspect),p80,4.615357362499871
per_task (b),1.5,GPT-5.1-Codex-Max (Inspect),p80,5.010662595852508
per_task (b),1.5,GPT-5.2,p80,5.529232334144082
per_task (b),1.5,GPT-5.3-Codex,p80,5.272958098133269
per_task (b),1.5,Gemini 3 Pro,p80,5.083509853441706
per_task (b),1.5,human,p80,3.1011665140835643
per_task (b),1.5,o1 (Inspect),p80,2.126886167920749
per_task (b),1.5,o1-preview,p80,1.4431485204260233
per_task (b),1.5,o3 (Inspect),p80,4.201766609195897
per_task (b),2.0,Claude 3 Opus (Inspect),p50,1.5402329238399588
per_task (b),2.0,Claude 3.5 Sonnet (New) (Inspect),p50,4.078762941182659
per_task (b),2.0,Claude 3.5 Sonnet (Old) (Inspect),p50,3.160257401711289
per_task (b),2.0,Claude 3.7 Sonnet (Inspect),p50,5.797679703882816
per_task (b),2.0,Claude 4 Opus (Inspect),p50,6.675990873745743
per_task (b),2.0,Claude 4.1 Opus (Inspect),p50,6.649026231850692
per_task (b),2.0,Claude Opus 4.5 (Inspect),p50,8.8248766986253
per_task (b),2.0,Claude Opus 4.6 (Inspect),p50,10.76144423385344
per_task (b),2.0,GPT-4 0314,p50,1.5475959142116578
per_task (b),2.0,GPT-4 1106 (Inspect),p50,1.5563171879027946
per_task (b),2.0,GPT-4 Turbo (Inspect),p50,1.4026502624986126
per_task (b),2.0,GPT-4o (Inspect),p50,2.3804664768570265
per_task (b),2.0,GPT-5 (Inspect),p50,8.033979004215563
per_task (b),2.0,GPT-5.1-Codex-Max (Inspect),p50,8.203885789891823
per_task (b),2.0,GPT-5.2,p50,9.231193091708269
per_task (b),2.0,GPT-5.3-Codex,p50,9.205808947165885
per_task (b),2.0,Gemini 3 Pro,p50,8.19105797724335
per_task (b),2.0,human,p50,6.992721588761578
per_task (b),2.0,o1 (Inspect),p50,5.077167832800426
per_task (b),2.0,o1-preview,p50,4.036196067542713
per_task (b),2.0,o3 (Inspect),p50,6.945789625564789
per_task (b),2.0,Claude 3 Opus (Inspect),p80,-1.5116051790515466
per_task (b),2.0,Claude 3.5 Sonnet (New) (Inspect),p80,0.39891545832002145
per_task (b),2.0,Claude 3.5 Sonnet (Old) (Inspect),p80,-0.20551369622588908
per_task (b),2.0,Claude 3.7 Sonnet (Inspect),p80,2.655994812500369
per_task (b),2.0,Claude 4 Opus (Inspect),p80,3.4266598023018897
per_task (b),2.0,Claude 4.1 Opus (Inspect),p80,3.618410170755594
per_task (b),2.0,Claude Opus 4.5 (Inspect),p80,4.9178812241352405
per_task (b),2.0,Claude Opus 4.6 (Inspect),p80,5.788798056227531
per_task (b),2.0,GPT-4 0314,p80,-1.0211550104758855
per_task (b),2.0,GPT-4 1106 (Inspect),p80,-1.2396141314360776
per_task (b),2.0,GPT-4 Turbo (Inspect),p80,-1.0399205764120465
per_task (b),2.0,GPT-4o (Inspect),p80,-0.5871522382413776
per_task (b),2.0,GPT-5 (Inspect),p80,4.440492428635984
per_task (b),2.0,GPT-5.1-Codex-Max (Inspect),p80,4.834410370081276
per_task (b),2.0,GPT-5.2,p80,5.399519727162277
per_task (b),2.0,GPT-5.3-Codex,p80,5.138797325113538
per_task (b),2.0,Gemini 3 Pro,p80,4.921484737379736
per_task (b),2.0,human,p80,2.9274317565900123
per_task (b),2.0,o1 (Inspect),p80,1.8793439160041425
per_task (b),2.0,o1-preview,p80,1.1694660784935351
per_task (b),2.0,o3 (Inspect),p80,3.9877436232154975
metr_global,0.0,Claude 3 Opus (Inspect),p50,1.9826785692951427
metr_global,0.0,Claude 3.5 Sonnet (New) (Inspect),p50,4.359160704332649
metr_global,0.0,Claude 3.5 Sonnet (Old) (Inspect),p50,3.510376708117211
metr_global,0.0,Claude 3.7 Sonnet (Inspect),p50,5.91621236359729
metr_global,0.0,Claude 4 Opus (Inspect),p50,6.649128587523157
metr_global,0.0,Claude 4.1 Opus (Inspect),p50,6.6506497437298995
metr_global,0.0,Claude Opus 4.5 (Inspect),p50,8.194730234431045
metr_global,0.0,Claude Opus 4.6 (Inspect),p50,9.489460306905862
metr_global,0.0,GPT-4 0314,p50,1.9954584102038109
metr_global,0.0,GPT-4 1106 (Inspect),p50,2.0161250456345523
metr_global,0.0,GPT-4 Turbo (Inspect),p50,1.900253163765679
metr_global,0.0,GPT-4o (Inspect),p50,2.8055391419210323
metr_global,0.0,GPT-5 (Inspect),p50,7.665425298676173
