agent,condition,p50_median,ci_lower,ci_upper,ci_logwidth
GPT-2,x_only,0.05280173132,0.04985807777,0.0560576542,0.1172001754
GPT-4 0125,x_only,5.922336804,5.218295875,6.686352611,0.2478976373
GPT-4 0314,x_only,5.727863633,5.091259001,6.400428185,0.228839744
GPT-4 1106,x_only,9.040053952,8.088983107,9.990510508,0.2111326676
GPT-4 Turbo,x_only,7.236338806,6.39545087,8.167609873,0.2445893807
GPT-4o,x_only,9.7433079,8.797141084,10.7512264,0.2005930397
GPT-5,x_only,134.7987947,127.1201183,145.3158745,0.1337773645
GPT-5.1-Codex-Max,x_only,167.1942656,157.9603438,179.9866757,0.1305388115
Gemini 2.5 Pro Preview,x_only,40.67924061,37.29701729,44.36107414,0.1734490183
Grok 4,x_only,107.5938684,100.5263581,116.3238007,0.1459577251
Kimi K2 Thinking,x_only,58.63816287,54.37844132,63.70088563,0.1582306896
Qwen2-72B,x_only,2.421003253,2.167536878,2.664323332,0.2063586725
Qwen2.5-72B,x_only,5.519133195,4.921785983,6.117402892,0.2174661731
davinci-002 (GPT-3),x_only,0.1449082791,0.136879615,0.1542493413,0.1194685756
gpt-3.5-turbo-instruct,x_only,0.5957712869,0.5458300845,0.6500345984,0.1747178629
gpt-oss-120b,x_only,45.54327089,42.22588584,49.08751307,0.1505712447
human,x_only,118.2357306,110.481365,127.7281238,0.1450571075
o1,x_only,41.86057535,38.78445342,44.99519222,0.1485361633
o1-preview,x_only,22.93347624,20.90077084,24.99089008,0.1787253213
o3,x_only,94.20614319,88.24061909,102.5836834,0.1506114979
o4-mini,x_only,78.7958601,73.41188184,85.71672369,0.1549621483
