noise_model,agent,quantile,naive_horizon_min,simex_horizon_min,pct_change,simex_horizon_min_exp,pct_change_exp
per_task (b),Claude 4 Opus (Inspect),p80,20.42975183,29.45432564,44.17368301,28.27246191,38.38867035
per_task (b),Claude 4.1 Opus (Inspect),p50,100.4720037,107.0329752,6.530148953,101.2313452,0.7557742034
per_task (b),Claude 4.1 Opus (Inspect),p80,23.45576099,33.47519272,42.71629355,32.51696263,38.63102818
per_task (b),Claude Opus 4.5 (Inspect),p50,292.9945937,244.4638654,-16.56369411,236.5135213,-19.27717219
per_task (b),Claude Opus 4.5 (Inspect),p80,49.43058382,69.44234707,40.48457799,63.82077684,29.11192202
per_task (b),Claude Opus 4.6 (Inspect),p50,718.80683,460.4213849,-35.94643712,463.1667272,-35.56450665
per_task (b),Claude Opus 4.6 (Inspect),p80,69.87458697,82.75212985,18.42950842,78.90674748,12.92624531
per_task (b),GPT-4 0314,p50,3.987427838,4.844629328,21.4976051,4.670607877,17.1333518
per_task (b),GPT-4 0314,p80,0.8895606345,1.290619968,45.08510355,1.201952639,35.11756174
per_task (b),GPT-4 1106 (Inspect),p50,4.044958906,4.911665917,21.42684341,4.754915565,17.55164082
per_task (b),GPT-4 1106 (Inspect),p80,0.7830324285,1.141810629,45.81907303,1.069523021,36.58732161
per_task (b),GPT-4 Turbo (Inspect),p50,3.732786938,4.607534625,23.43417134,4.446289479,19.11447272
per_task (b),GPT-4 Turbo (Inspect),p80,0.9279326501,1.38221017,48.95587194,1.287726555,38.77370893
per_task (b),GPT-4o (Inspect),p50,6.991195322,8.309766528,18.8604544,8.115213707,16.07762812
per_task (b),GPT-4o (Inspect),p80,1.267008974,1.844734806,45.59761165,1.754000503,38.43631249
per_task (b),GPT-5 (Inspect),p50,203.0125772,188.6422085,-7.078560774,179.6986678,-11.48397293
per_task (b),GPT-5 (Inspect),p80,38.31243104,55.52602703,44.92953207,51.37826612,34.10338297
per_task (b),GPT-5.1-Codex-Max (Inspect),p50,223.7146944,209.385867,-6.404955847,196.3904524,-12.21387899
per_task (b),GPT-5.1-Codex-Max (Inspect),p80,50.63249949,74.67486885,47.48406577,68.19665312,34.68948563
