noise_model,lambda,agent,quantile,mean_log2_horizon
per_task (b),0.5,o3,p50,6.520588468534523
per_task (b),0.5,o4-mini,p50,6.268388646200802
per_task (b),0.5,Claude 3 Opus,p80,0.45691486719625196
per_task (b),0.5,Claude 3.5 Sonnet (New),p80,2.354558362090017
per_task (b),0.5,Claude 3.5 Sonnet (Old),p80,1.8489764398070685
per_task (b),0.5,Claude 3.7 Sonnet,p80,4.188390403024909
per_task (b),0.5,Claude 4 Opus,p80,4.578979514661231
per_task (b),0.5,Claude 4 Sonnet,p80,4.280124388407094
per_task (b),0.5,Claude 4.1 Opus,p80,4.597838140001706
per_task (b),0.5,Claude Opus 4.5,p80,5.044402674872554
per_task (b),0.5,Claude Sonnet 4.5,p80,4.527527450507375
per_task (b),0.5,DeepSeek-R1,p80,2.291305245449469
per_task (b),0.5,DeepSeek-R1-0528,p80,2.027310241440362
per_task (b),0.5,DeepSeek-V3,p80,2.2049455858538956
per_task (b),0.5,DeepSeek-V3-0324,p80,2.6715301360793973
per_task (b),0.5,GPT-2,p80,-6.3232058883921916
per_task (b),0.5,GPT-4 0125,p80,0.7018872567935319
per_task (b),0.5,GPT-4 0314,p80,0.2520433593467699
per_task (b),0.5,GPT-4 1106,p80,0.7979905538015192
per_task (b),0.5,GPT-4 Turbo,p80,1.062052931275383
per_task (b),0.5,GPT-4o,p80,1.0241905327352876
per_task (b),0.5,GPT-5,p80,4.870192367286826
per_task (b),0.5,GPT-5.1-Codex-Max,p80,5.153291418913542
per_task (b),0.5,Gemini 2.5 Pro Preview,p80,3.461260760444934
per_task (b),0.5,Grok 4,p80,4.035879685198248
per_task (b),0.5,Kimi K2 Thinking,p80,3.715011615221515
per_task (b),0.5,Qwen2-72B,p80,-0.8852833254484643
per_task (b),0.5,Qwen2.5-72B,p80,0.20528738619479409
per_task (b),0.5,davinci-002 (GPT-3),p80,-4.170403648748428
per_task (b),0.5,gpt-3.5-turbo-instruct,p80,-2.0155121826241
per_task (b),0.5,gpt-oss-120b,p80,2.864245704479939
per_task (b),0.5,human,p80,3.115359227372116
per_task (b),0.5,o1,p80,2.74186975285424
per_task (b),0.5,o1-preview,p80,2.4587899232564436
per_task (b),0.5,o3,p80,4.594906835010108
per_task (b),0.5,o4-mini,p80,4.157120362259973
per_task (b),1.0,Claude 3 Opus,p50,2.64065971168398
per_task (b),1.0,Claude 3.5 Sonnet (New),p50,4.821995085915062
per_task (b),1.0,Claude 3.5 Sonnet (Old),p50,4.158408261203583
per_task (b),1.0,Claude 3.7 Sonnet,p50,5.745684577072231
per_task (b),1.0,Claude 4 Opus,p50,6.364859451480648
per_task (b),1.0,Claude 4 Sonnet,p50,6.175056425622927
per_task (b),1.0,Claude 4.1 Opus,p50,6.807890233463094
per_task (b),1.0,Claude Opus 4.5,p50,8.21766840739946
per_task (b),1.0,Claude Sonnet 4.5,p50,6.926921075352442
per_task (b),1.0,DeepSeek-R1,p50,4.685052022666989
per_task (b),1.0,DeepSeek-R1-0528,p50,4.950314610527044
per_task (b),1.0,DeepSeek-V3,p50,4.148213791503548
per_task (b),1.0,DeepSeek-V3-0324,p50,4.480132809155506
