noise_model,agent,quantile,naive_horizon_min,simex_horizon_min,pct_change,simex_horizon_min_exp,pct_change_exp
metr_global,gpt-3.5-turbo-instruct,p80,0.2553798185,0.2509908605,-1.718600169,0.259827732,1.741685585
metr_global,gpt-oss-120b,p50,45.11018354,47.57978702,5.474603033,46.76394917,3.666058297
metr_global,gpt-oss-120b,p80,8.352219801,11.13189841,33.28071674,10.58016097,26.67483879
metr_global,human,p50,115.4045805,108.2860537,-6.168322577,107.8011412,-6.588507377
metr_global,human,p80,9.760064148,12.56168648,28.70495814,12.01828899,23.13739752
metr_global,o1,p50,41.55170568,44.02507445,5.952508402,43.29994536,4.207383677
metr_global,o1,p80,7.645697121,10.0140931,30.97684803,9.698517757,26.84935858
metr_global,o1-preview,p50,23.25472798,25.50345466,9.669976291,25.26744838,8.655101906
metr_global,o1-preview,p80,6.418505153,8.448340785,31.62474101,8.265973558,28.78346843
metr_global,o3,p50,91.44379881,94.49691748,3.338792466,91.33770285,-0.1160231397
metr_global,o3,p80,27.3006699,35.29112868,29.26836157,34.02706986,24.63822312
metr_global,o4-mini,p50,76.748308,78.6014207,2.414532318,76.72643456,-0.02850022942
metr_global,o4-mini,p80,20.14777633,26.03815395,29.23586965,25.09094232,24.53454866
per_task,Claude 3 Opus,p50,7.148401968,8.267555217,15.65599213,8.144111868,13.92912577
per_task,Claude 3 Opus,p80,1.57821605,2.112981503,33.88417276,2.04430313,29.53252696
per_task,Claude 3.5 Sonnet (New),p50,30.45455526,33.1223301,8.75985489,32.5747063,6.961687768
per_task,Claude 3.5 Sonnet (New),p80,5.90763132,8.199510053,38.7952228,7.864467362,33.1238687
per_task,Claude 3.5 Sonnet (Old),p50,19.76460099,22.08269636,11.72852094,21.76623299,10.12735852
per_task,Claude 3.5 Sonnet (Old),p80,4.192070559,5.777369357,37.81660579,5.59997159,33.58486004
per_task,Claude 3.7 Sonnet,p50,55.25844491,57.15180444,3.426371359,56.4803997,2.21134488
