Claude 3 Opus@p50,Claude 3.5 Sonnet (New)@p50,Claude 3.5 Sonnet (Old)@p50,Claude 3.7 Sonnet@p50,Claude 4 Opus@p50,Claude 4 Sonnet@p50,Claude 4.1 Opus@p50,Claude Opus 4.5@p50,Claude Sonnet 4.5@p50,DeepSeek-R1@p50,DeepSeek-R1-0528@p50,DeepSeek-V3@p50,DeepSeek-V3-0324@p50,GPT-2@p50,GPT-4 0125@p50,GPT-4 0314@p50,GPT-4 1106@p50,GPT-4 Turbo@p50,GPT-4o@p50,GPT-5@p50,GPT-5.1-Codex-Max@p50,Gemini 2.5 Pro Preview@p50,Grok 4@p50,Kimi K2 Thinking@p50,Qwen2-72B@p50,Qwen2.5-72B@p50,davinci-002 (GPT-3)@p50,gpt-3.5-turbo-instruct@p50,gpt-oss-120b@p50,human@p50,o1@p50,o1-preview@p50,o3@p50,o4-mini@p50,Claude 3 Opus@p80,Claude 3.5 Sonnet (New)@p80,Claude 3.5 Sonnet (Old)@p80,Claude 3.7 Sonnet@p80,Claude 4 Opus@p80,Claude 4 Sonnet@p80,Claude 4.1 Opus@p80,Claude Opus 4.5@p80,Claude Sonnet 4.5@p80,DeepSeek-R1@p80,DeepSeek-R1-0528@p80,DeepSeek-V3@p80,DeepSeek-V3-0324@p80,GPT-2@p80,GPT-4 0125@p80,GPT-4 0314@p80,GPT-4 1106@p80,GPT-4 Turbo@p80,GPT-4o@p80,GPT-5@p80,GPT-5.1-Codex-Max@p80,Gemini 2.5 Pro Preview@p80,Grok 4@p80,Kimi K2 Thinking@p80,Qwen2-72B@p80,Qwen2.5-72B@p80,davinci-002 (GPT-3)@p80,gpt-3.5-turbo-instruct@p80,gpt-oss-120b@p80,human@p80,o1@p80,o1-preview@p80,o3@p80,o4-mini@p80
8.739165444,43.1307675,19.59582617,62.48961316,105.7144153,81.88374701,144.7997257,363.6843183,114.6492818,32.51708261,46.26394618,26.27482681,28.62904449,0.02213962204,4.216485125,8.68670879,9.72448308,7.643770036,10.34194149,172.1586396,371.8582688,51.92703254,150.8946239,67.73864101,2.215133855,5.265112358,0.1318417923,0.4760060849,56.04154099,165.2510868,62.60007497,25.54301772,143.1684685,103.3727543,1.973979079,6.466826162,4.010310792,29.844664,39.2467163,35.09667022,35.5190104,61.04506495,34.93300479,5.068512598,11.00127205,9.219897072,9.650768169,0.00549737363,1.184219444,2.502621905,2.509540757,2.781996001,2.563430124,51.14059353,82.34782775,21.89507422,43.86475559,26.5487114,0.4921918914,1.299013413,0.06721382955,0.1976868638,14.8882497,27.05310428,16.60765238,8.416424682,47.20024225,36.85446035
5.328694809,18.56169441,11.48079626,33.76748115,44.57556632,37.91159821,55.95509487,78.93546935,47.43932972,19.48434451,22.93342904,16.28385962,19.36909111,0.0605042405,4.185224139,3.686857077,5.972784322,4.670331909,7.697777774,73.88334948,90.22723595,28.04062561,48.23899321,36.74401814,2.170579583,2.578974905,0.105407056,0.6435318074,28.25462437,52.42285369,31.42303775,17.9687516,51.68968576,43.54350936,1.288020206,3.649361025,1.602854124,8.353682192,10.49666768,8.598068087,9.707562611,9.783835614,8.658865974,2.514196499,3.605505208,3.312450441,3.528969706,0.02603225966,1.019165589,0.6760485852,0.9689813668,1.0300703,1.319692064,10.99525881,9.343914109,6.665158172,5.683464326,6.582253479,0.515512202,0.3899657999,0.03447643911,0.3594969269,4.504777351,3.459265413,4.878890404,3.252447687,10.31364721,9.028413106
6.671288559,34.44897939,26.15543941,76.89623896,87.95243595,86.79585155,107.4963847,312.6755279,114.3175189,41.25362049,49.71903276,16.82713022,22.20722557,0.04840752259,8.641805818,7.044760844,14.51731848,7.952731536,10.02503258,171.4091525,287.3053882,53.98727721,133.798795,65.85537511,2.930832247,4.51229689,0.1646807336,0.6797924626,51.73506086,143.0289093,71.79873456,31.01283206,119.8223926,104.635258,1.298559044,5.549045945,7.264668383,33.15365733,36.24901432,35.74017196,36.06518516,52.72237798,27.48985573,9.947499888,3.362281349,4.489026152,5.623075064,0.01008002274,3.16365342,1.462275994,2.626679987,2.253628967,2.195575441,47.79205532,77.81001989,24.28608408,34.72844674,19.96603476,0.5192435122,0.7512538109,0.06000799023,0.3046023688,9.00966889,7.159076143,19.3384344,7.219299904,41.27549365,36.29609424
4.17243543,27.23790854,16.40111605,69.69491006,95.18333343,92.30299935,123.9585548,186.8298605,95.4384525,22.87800507,48.62206718,17.54432176,26.68602598,0.04793324483,4.010694832,5.420565343,8.656576307,3.597354759,7.228896814,184.9423372,205.4885947,51.9283366,115.0020729,72.0100608,1.605488527,3.547502781,0.128294425,0.4181922305,55.62226995,180.8984374,71.33876159,27.62613988,127.5778527,101.2718002,0.639423994,7.980854798,3.771188711,36.87775525,42.81856438,37.14736457,49.49879523,51.73802755,45.77511488,5.632952842,10.48519115,4.541016029,8.480622159,0.01085714073,0.9106542369,0.8787264284,1.777913952,0.9254357378,1.073548293,72.74935433,106.9104052,17.10192339,40.63414585,23.3203286,0.2993337035,0.6944430865,0.05516038146,0.2392957342,13.78004802,6.141370408,24.39860967,9.247552185,54.52048426,47.13232311
3.264221164,22.50750043,9.722348235,41.29645958,68.51157326,56.8475634,92.82492675,206.6128259,85.18351866,15.86524329,17.53078517,12.42793955,14.533628,0.03492164786,3.796898532,4.021398137,5.143761449,4.458454286,5.503442644,93.34246889,124.8820816,28.64499514,70.23078001,37.18470803,1.345365016,3.859147271,0.1565028519,0.5152106411,35.12718034,92.07612997,37.88549806,16.4933995,75.16865844,56.10840403,1.114143017,4.281910465,2.133170109,13.60253415,16.78043096,13.97634325,16.69120605,22.74777725,19.40834125,2.544324289,2.170947039,4.114613725,4.987557523,0.00851587546,1.24834304,1.236480808,1.327673133,1.538521147,1.483246746,21.68305315,23.53111965,7.404030766,13.63564726,7.959660318,0.4656795446,1.356635759,0.06676756529,0.2435851668,5.786992015,4.942379452,5.887636982,6.028048407,18.39973545,12.44936553
10.16585442,40.99692252,28.25073565,84.80951241,96.34147346,93.23583534,147.253175,491.6119567,185.3790212,44.72904159,47.89270895,27.93971088,34.04402547,0.0457987584,6.978151657,9.237849299,14.37889468,10.4515741,10.25361962,195.5505084,248.7761515,66.56871443,193.9445867,87.0123348,4.525818129,7.338107132,0.2148015824,0.9839500975,60.87597849,187.5539051,65.24541477,49.77124925,139.386473,120.3624356,2.603681563,5.410276435,4.18814213,35.40247216,43.58623002,41.56389267,40.85632362,104.084234,42.61166894,6.151957777,7.897942642,8.1189947,9.897266254,0.009277703663,2.179860234,2.263551771,3.21282023,3.51974653,2.496803867,77.92074339,77.0990376,26.65999866,43.3496362,25.71167356,1.365051556,1.654411281,0.07621510165,0.4268653431,7.919575266,22.92763485,9.526992979,15.91963365,57.82146495,38.21282187
10.1928714,38.9316348,24.73592776,80.60395337,118.6151852,111.197354,151.0533202,232.0063752,191.693007,37.60140194,45.17469758,22.40711076,36.34287996,0.08795478672,8.68680271,7.828419008,11.00455916,8.846406581,19.72317486,175.9661745,233.6882096,54.86752719,157.865905,93.75819069,1.859833962,5.812046221,0.1312976149,0.6204939904,72.99959806,88.53472806,71.7838377,33.06124588,110.627097,102.3160604,1.830781892,5.559543225,6.253782498,28.87416046,43.15653103,33.33584547,41.49820331,45.41868665,49.68806492,6.552815182,6.897206044,4.9684908,10.70192494,0.02125841118,2.813542763,1.429948119,1.760494092,2.565398064,4.231780244,53.75993902,76.69106015,17.94715095,27.16092948,24.16879033,0.4126429492,1.030731425,0.04839878556,0.2602826339,19.11393874,8.358762157,16.81549321,8.230313092,30.18347763,23.63695977
4.631789325,37.56430991,14.62576627,81.27273699,110.3482425,111.1646746,157.5274172,302.0926667,170.141087,23.61213065,34.55031964,16.38364393,25.18647838,0.1120549608,3.526405953,3.61768986,7.79288925,7.391937875,12.1994016,155.6126396,186.3716484,43.85808014,162.3392195,72.62605387,1.546318502,6.013436645,0.1292114484,0.3059376091,41.39117487,129.9111621,59.6928188,28.68677535,87.97888178,67.84352367,0.9254330208,10.09675266,2.523552475,37.02020125,50.44192008,40.38291637,53.37294549,90.59353341,53.38826318,5.007394981,6.724084682,3.431621515,7.825402292,0.04707178738,0.8655478658,0.7488528289,1.496890637,2.159983131,2.692728972,57.6297547,79.32906851,20.05495008,44.99110875,30.14117363,0.3954642557,1.521982723,0.05610081673,0.1753750204,9.263248009,22.68634533,20.46679391,7.960633552,43.47166647,29.68342721
6.714218121,29.08007672,12.85055003,54.31711221,62.56624858,60.2907971,77.97132409,200.6266838,78.3313218,33.02048759,43.01296786,23.19822518,29.78022678,0.02336924046,3.498380377,4.080878327,8.544465771,7.631110857,10.84249358,94.94942169,132.0241831,48.48843616,84.94192039,56.0177849,2.034877456,6.261477132,0.1851618584,0.5328289687,50.68875794,117.4380776,41.45779621,24.20795742,98.8281676,70.73432273,1.479056598,7.166881507,2.331599669,19.25180941,21.87452034,17.74119544,22.00651291,24.37234081,20.53171485,6.99277343,8.109263835,4.746425755,7.675375894,0.008278820258,0.8592355108,0.7304306364,1.897100735,2.107931988,2.677154976,23.39819176,26.37147553,15.20243621,17.53789343,18.37835588,0.311126094,1.226326303,0.08069047135,0.2120017949,10.79963438,9.139276445,10.15987241,4.618018281,25.46248127,19.01592604
9.627743444,63.60940632,39.82136917,82.41740031,126.8804996,126.0758372,176.9394398,297.495725,161.6024127,52.79631539,70.78941111,34.73318202,46.32862166,0.02254657329,8.777496265,6.834965132,15.02774832,12.61216842,16.00044832,186.5500042,234.0786899,81.09702292,157.9922129,100.705447,3.876610224,7.641687497,0.1277879618,0.6048912918,92.69252167,135.4485761,89.29464903,34.6568319,156.2353586,130.9130728,2.069641521,14.43649477,9.978753247,36.20061296,58.39669985,49.62222133,68.41313602,81.68940466,52.63655868,10.32454781,9.469553212,8.027745376,16.06486385,0.003947502765,2.50829103,1.345262986,3.105166541,3.355637389,3.014340067,69.31119472,98.81135329,34.90821331,38.0781469,34.82790056,1.049635272,1.60252376,0.04378578718,0.3346336313,31.62151726,15.00756385,26.60535159,8.580580558,61.08817018,51.24355849
