Claude 3 Opus@p50,Claude 3.5 Sonnet (New)@p50,Claude 3.5 Sonnet (Old)@p50,Claude 3.7 Sonnet@p50,Claude 4 Opus@p50,Claude 4 Sonnet@p50,Claude 4.1 Opus@p50,Claude Opus 4.5@p50,Claude Sonnet 4.5@p50,DeepSeek-R1@p50,DeepSeek-R1-0528@p50,DeepSeek-V3@p50,DeepSeek-V3-0324@p50,GPT-2@p50,GPT-4 0125@p50,GPT-4 0314@p50,GPT-4 1106@p50,GPT-4 Turbo@p50,GPT-4o@p50,GPT-5@p50,GPT-5.1-Codex-Max@p50,Gemini 2.5 Pro Preview@p50,Grok 4@p50,Kimi K2 Thinking@p50,Qwen2-72B@p50,Qwen2.5-72B@p50,davinci-002 (GPT-3)@p50,gpt-3.5-turbo-instruct@p50,gpt-oss-120b@p50,human@p50,o1@p50,o1-preview@p50,o3@p50,o4-mini@p50,Claude 3 Opus@p80,Claude 3.5 Sonnet (New)@p80,Claude 3.5 Sonnet (Old)@p80,Claude 3.7 Sonnet@p80,Claude 4 Opus@p80,Claude 4 Sonnet@p80,Claude 4.1 Opus@p80,Claude Opus 4.5@p80,Claude Sonnet 4.5@p80,DeepSeek-R1@p80,DeepSeek-R1-0528@p80,DeepSeek-V3@p80,DeepSeek-V3-0324@p80,GPT-2@p80,GPT-4 0125@p80,GPT-4 0314@p80,GPT-4 1106@p80,GPT-4 Turbo@p80,GPT-4o@p80,GPT-5@p80,GPT-5.1-Codex-Max@p80,Gemini 2.5 Pro Preview@p80,Grok 4@p80,Kimi K2 Thinking@p80,Qwen2-72B@p80,Qwen2.5-72B@p80,davinci-002 (GPT-3)@p80,gpt-3.5-turbo-instruct@p80,gpt-oss-120b@p80,human@p80,o1@p80,o1-preview@p80,o3@p80,o4-mini@p80
6.679855043,44.71084067,18.52448647,80.82377418,117.9364424,93.51876278,166.7486519,390.7287527,124.9568742,32.70022325,49.78326731,27.46580587,29.95291991,0.02438777702,2.50302338,6.531241153,7.496006978,5.122305463,7.916058448,186.2343343,368.3034654,62.13545203,159.2900345,77.64848759,1.629578165,3.657300106,0.1321497604,0.3893441389,62.50286918,202.2768633,69.12916424,25.80521252,162.1730557,118.5107123,0.8997959669,5.16208321,2.644249076,28.55341072,36.32301943,34.03704442,31.08370645,60.96764258,34.03438682,3.407019647,8.615851088,6.778600571,6.400392114,0.006620442461,0.3932526801,1.132867303,1.128831588,1.017195483,1.074595831,49.02547262,85.26471037,16.94567116,44.62621347,25.46318675,0.2945500311,0.5727593257,0.06714704293,0.1459527258,11.28835461,22.30533408,14.42167319,5.053901946,41.09143958,31.80536695
3.712508096,16.2571619,9.491385133,32.88212413,45.74233036,37.7130691,59.49057951,87.92293772,48.88507752,17.59742498,20.79847045,13.66912257,16.95406181,0.05710630167,2.871252748,2.696433043,4.498568559,3.076536601,5.818396063,81.82478094,105.4349239,26.52765843,50.30531664,36.15275982,1.45844204,1.79214308,0.09989292733,0.492779943,26.40688363,56.98587992,30.00708533,15.63455604,54.01320203,44.33672221,0.6023742746,2.038894823,0.8589180545,4.858419153,6.747762777,5.209524331,6.159374342,7.22098146,5.689980511,1.49965055,1.977695063,1.670015856,1.877607601,0.03130017631,0.4881446169,0.3637290909,0.4934325596,0.4167695596,0.6335564674,7.546641249,5.184661911,4.055005807,3.176240094,3.898169626,0.2566673945,0.1852224534,0.03219879802,0.2473562232,2.377049157,1.704829563,2.633997296,1.77961642,7.079192573,5.777138052
5.699514849,33.84627503,22.99265431,87.43684497,102.2009113,100.4410415,139.4785339,616.3551746,145.3889163,40.75480456,56.16262683,14.81837267,19.29486234,0.04540439842,6.694403129,5.975282304,12.66288254,6.599777673,8.215548609,280.7185134,963.4246723,55.6183099,164.3988607,71.88262373,2.510382412,3.772185417,0.1648509045,0.6157617096,54.5884942,193.0386415,82.37152797,29.18767161,165.6292784,133.2615863,0.9273097315,3.206532325,3.65497068,21.46803439,24.30303445,23.95627428,22.43153644,46.16584274,19.73978999,5.832418187,1.864625861,3.099928866,3.003332465,0.008739562158,1.863209022,1.0279976,1.625724634,1.561438804,1.290822802,32.5249528,56.55465546,13.96219298,29.99418621,12.46475597,0.3963329117,0.5059477431,0.06210492777,0.2977008193,5.947478118,5.252549617,10.91490489,4.449222876,25.09537971,22.81622728
3.889851311,27.93743166,16.24730762,76.59510926,102.5927002,99.78486168,133.4780121,210.6816244,102.8963141,21.73726643,50.18891909,16.9382399,25.98041549,0.04754268767,3.53922991,5.10272712,8.357106976,3.325164133,6.676373331,203.8265863,218.2630088,54.56703267,123.8784828,76.74285325,1.4916708,3.41232587,0.131789243,0.425745482,58.33305415,219.7735157,76.12825501,25.88305537,137.1158928,109.3875562,0.4929912194,6.984734745,3.134563952,34.67979505,39.78709786,32.7334215,46.50936062,45.53182176,42.33191503,3.788459402,7.888506308,3.446297022,6.045116147,0.01036958011,0.6281493285,0.6859881165,1.455293375,0.7299884925,0.7679651467,65.02816297,99.40957717,14.32457131,39.04332545,21.48973915,0.2338323747,0.5945304068,0.05531330942,0.2473963986,11.16926701,4.877392152,18.63909689,5.5879954,50.63814587,45.7923017
3.048142013,25.77328721,9.973344841,52.71673545,90.69245212,72.45741742,123.5262181,252.7376527,111.5703273,17.44711851,19.54265774,12.81569674,15.25781299,0.03354907962,3.567610135,3.868503335,5.02388324,4.158252134,5.417424496,130.9605531,176.0100722,33.87126703,97.88679622,45.83282603,1.303185843,3.652143925,0.1522263343,0.5067088778,42.90728217,123.2817288,46.79775942,17.4608742,104.4702631,75.94680943,0.8454863797,3.793813778,1.628528979,13.09145267,16.38772878,14.63484776,17.32655824,28.88547571,21.3604041,2.052100916,1.66653027,3.205362198,3.831512032,0.007808880064,0.9468005218,0.9954300929,1.050050748,1.125557261,1.202723576,20.32267861,25.57153919,5.732242831,10.90248559,6.476199638,0.3990869476,1.061752573,0.06865300207,0.2264712658,4.477022469,4.602342274,4.620574802,4.205981207,15.89293294,10.13118034
11.48935692,47.4181703,32.03050416,99.8458049,109.6676863,105.8492203,172.3299482,792.444498,238.6349173,51.36273706,53.817887,31.58720071,38.23296807,0.04626654968,8.009431343,10.15485175,15.9722695,11.99445804,11.82977996,242.3078065,306.4246085,76.54973179,254.1001318,98.80453288,6.080007532,9.277332703,0.2056473627,0.9638044211,71.87447535,275.3198392,75.80139579,57.95740132,167.0514196,161.4979802,2.962965854,5.33459855,4.083134144,37.17553468,46.10809956,44.40862865,44.42363163,116.1846421,43.55136239,6.499559397,9.311860768,8.564184566,11.09441218,0.01031740135,2.56364582,2.327967958,3.326581344,4.190207855,3.096247556,70.65723046,81.98014953,28.34765598,44.03470253,28.75024529,2.29499115,2.714763118,0.07155984957,0.3921645335,7.977265925,21.51319692,10.19346448,16.10725828,53.69671207,34.10692043
8.1014604,35.57178739,20.72932299,77.63083424,115.1932031,107.0634075,156.862509,273.9609407,200.2925778,34.29031319,42.1323473,18.39479244,31.01371165,0.09237205982,6.619076271,6.409249071,9.631239121,6.875447946,16.30481843,186.4074031,265.748273,48.69617803,160.0380072,90.96428074,1.800651748,4.920144969,0.1380338016,0.671892104,68.22580751,89.77138494,67.08647946,28.76077047,107.5766626,99.86262246,0.9993229323,3.857113537,3.923343714,18.97112625,25.36326583,23.90380071,27.99866267,40.90190392,39.62502519,5.253005283,6.06472157,2.78305836,6.4256899,0.02273503282,1.637311538,0.9015753759,1.360617986,1.5394064,2.535331165,36.32635996,49.43400223,10.74263096,23.65881604,15.81439639,0.4183122124,0.7301413378,0.0512233927,0.2793745279,17.67143695,6.225337214,12.76257223,5.63788421,21.41821866,17.61572282
3.872547865,32.60166507,11.58521145,70.20538099,87.44082174,88.94263316,121.9620145,256.126373,139.202917,20.28761327,27.60638193,13.16054842,21.87579956,0.1115344439,2.864650217,2.876370674,6.518002417,6.108024858,10.6184109,120.4642463,144.6530356,40.40104284,131.0587645,61.75369729,1.266950304,4.629641015,0.1287173236,0.2755461851,33.81350853,109.8677467,50.66492425,25.37879068,73.36095468,57.78302342,0.7654241044,8.649221878,1.684975418,27.81086686,38.09859718,34.3142375,40.975955,71.7346276,30.98880234,4.253002231,4.202022394,2.354307445,6.324930533,0.04226507402,0.6816335185,0.5487957332,1.216118214,1.723209123,2.398583074,39.9943363,44.29304865,16.9451161,31.19640672,23.37833955,0.314564108,1.014176877,0.05299033565,0.1667690455,6.250764774,14.12992718,15.59572697,7.121437051,32.34159656,20.94223764
5.405080996,28.75698967,11.70229193,60.28418681,70.3096437,68.06504622,89.17938208,302.3642706,89.98292773,33.26646679,44.64815119,22.11028502,29.69430763,0.02592115034,2.665963005,3.253599503,7.239339038,6.23214687,9.506712445,112.1479908,165.6391812,52.88801889,99.40674906,61.78845061,1.370016533,5.064494723,0.1720914402,0.4122444117,53.83221785,144.0602164,43.23883942,23.11379571,115.9976433,79.20979826,0.9336265817,5.771903046,1.865997781,15.84315254,18.34460311,13.84324956,18.32486501,20.47689288,16.7931857,4.890760468,6.102263689,3.346677328,5.590071476,0.01060370509,0.5513359854,0.4863961895,1.32006643,1.39185161,1.970282594,19.34386641,21.96518985,11.87157081,13.81858971,15.18454282,0.1467717381,0.786130552,0.08017463232,0.1544383891,8.506024623,6.736101325,7.808726602,2.97420131,21.58466823,15.81150532
8.749478664,56.35429442,34.34911936,69.99989677,110.0339534,110.8111197,162.7664868,287.9820007,151.2495019,48.0638389,64.665273,30.65177126,39.4113168,0.02011479633,8.481957176,6.307156098,14.04268634,11.51726569,14.61605268,168.7298724,224.4571984,68.43953597,145.2855372,86.64186764,3.812892692,7.200708997,0.1140930605,0.5324277925,80.86995068,128.4831857,78.449202,31.63975075,139.4602101,117.6194623,1.821065477,12.1217083,7.768602352,27.25861576,40.19637209,35.6681914,50.47471782,73.34148826,35.87474025,10.15218029,8.506742282,6.815256469,12.65241435,0.003460421028,2.532693393,1.219641835,3.046132411,3.026906463,2.763946737,60.05474394,70.96568903,25.79444124,32.69843679,24.10169131,1.045692448,1.541836132,0.04170201073,0.2831553626,27.72629675,12.3927251,22.18050483,8.475202926,48.93160927,37.39589339
