noise_model,lambda,agent,quantile,mean_log2_horizon
per_task,1,Claude 3.5 Sonnet (New) (Inspect),p80,0.8634496491
per_task,1,Claude 3.5 Sonnet (Old) (Inspect),p80,0.2243984608
per_task,1,Claude 3.7 Sonnet (Inspect),p80,3.113787578
per_task,1,Claude 4 Opus (Inspect),p80,3.859327035
per_task,1,Claude 4.1 Opus (Inspect),p80,4.065840826
per_task,1,Claude Opus 4.5 (Inspect),p80,5.220301166
per_task,1,Claude Opus 4.6 (Inspect),p80,5.921258624
per_task,1,GPT-4 0314,p80,-0.6574029391
per_task,1,GPT-4 1106 (Inspect),p80,-0.8583683011
per_task,1,GPT-4 Turbo (Inspect),p80,-0.6424251029
per_task,1,GPT-4o (Inspect),p80,-0.1709623819
per_task,1,GPT-5 (Inspect),p80,4.806718144
per_task,1,GPT-5.1-Codex-Max (Inspect),p80,5.196511814
per_task,1,GPT-5.2,p80,5.671499919
per_task,1,GPT-5.3-Codex,p80,5.407197369
per_task,1,Gemini 3 Pro,p80,5.273731364
per_task,1,human,p80,3.25082142
per_task,1,o1 (Inspect),p80,2.340714625
per_task,1,o1-preview,p80,1.634764015
per_task,1,o3 (Inspect),p80,4.419022992
per_task,1.5,Claude 3 Opus (Inspect),p50,1.662683142
per_task,1.5,Claude 3.5 Sonnet (New) (Inspect),p50,4.144931732
per_task,1.5,Claude 3.5 Sonnet (Old) (Inspect),p50,3.25334345
per_task,1.5,Claude 3.7 Sonnet (Inspect),p50,5.814761922
per_task,1.5,Claude 4 Opus (Inspect),p50,6.650389316
per_task,1.5,Claude 4.1 Opus (Inspect),p50,6.628606955
per_task,1.5,Claude Opus 4.5 (Inspect),p50,8.657068302
per_task,1.5,Claude Opus 4.6 (Inspect),p50,10.41873378
per_task,1.5,GPT-4 0314,p50,1.661508783
per_task,1.5,GPT-4 1106 (Inspect),p50,1.676040338
per_task,1.5,GPT-4 Turbo (Inspect),p50,1.533416704
per_task,1.5,GPT-4o (Inspect),p50,2.489097457
per_task,1.5,GPT-5 (Inspect),p50,7.928935009
per_task,1.5,GPT-5.1-Codex-Max (Inspect),p50,8.083596675
per_task,1.5,GPT-5.2,p50,9.029384521
per_task,1.5,GPT-5.3-Codex,p50,9.012530639
per_task,1.5,Gemini 3 Pro,p50,8.083371394
per_task,1.5,human,p50,6.909571022
per_task,1.5,o1 (Inspect),p50,5.120538711
per_task,1.5,o1-preview,p50,4.113232446
per_task,1.5,o3 (Inspect),p50,6.911927243
per_task,1.5,Claude 3 Opus (Inspect),p80,-1.257507393
per_task,1.5,Claude 3.5 Sonnet (New) (Inspect),p80,0.6469921712
per_task,1.5,Claude 3.5 Sonnet (Old) (Inspect),p80,0.07036762386
per_task,1.5,Claude 3.7 Sonnet (Inspect),p80,2.886407297
per_task,1.5,Claude 4 Opus (Inspect),p80,3.652570239
